No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,一切都好, 2.33 GiB,1920 * 800, 1h 46mn,3138 Kbps,一切都好.2016.1080P.X264.AAC.CHS.ENG.rarbt,,【rarbt.com】一切都好.2016.超清1080P.X264.AAC.CHS.ENG.rarbt.mp4
2,一号目标, 2.79 GiB,1920 * 1080, 1h 42mn,3910 Kbps,一号目标.Who is Undercover 2014 1080p WEB-DL x264 AAC-SeeHD,,Who is Undercover 2014 1080p WEB-DL x264 AAC-SeeHD.mkv
3,一场风花雪月的事, 1.99 GiB,1280 * 544, 1h 49mn,2601 Kbps,一场风花雪月的事.Crimes of Passion 2013 720p WEB-DL x264 AC3,,一场风花雪月的事.WEBRIP.mkv
4,一念天堂, 2.22 GiB,1920 * 816, 1h 41mn,3124 Kbps,一念天堂.Heart.for.Heaven.2015.1080p.WEB-DL.x264.AAC,,Heart.for.Heaven.2015.1080p.WEB-DL.x264.AAC-SeeHD.mkv
5,三更车库, 1.90 GiB,1920 * 816, 1h 27mn,3133 Kbps,三更车库.Midnight.Garage.2015.HD1080P.X264.AAC.Mandarin.CHS,,三更车库.Midnight.Garage.2015.HD1080P.X264.AAC.Mandarin.CHS.mp4
6,不肯去观音, 1.30 GiB,1280 * 546, 1h 40mn,1843 Kbps,不肯去观音.Avalokitesvara.2013.720p.WEB-DL.x264.AC3-SmY,,Avalokitesvara.2013.720p.WEB-DL.x264.AC3-SmY.mkv
7,九层妖塔, 2.59 GiB,1920 * 800, 1h 58mn,3142 Kbps,九层妖塔.Chronicles of the Ghostly Tribe 2015 1080p WEB-DL x264 AAC-SeeHD,,Chronicles of the Ghostly Tribe 2015 1080p WEB-DL x264 AAC-SeeHD.mp4
8,人山人海, 4.00 GiB,1280 * 544, 1h 32mn,6186 Kbps,人山人海.People.Mountain.People.Sea.2012.HDTV.720p.x264.AC3-HD,,人山人海.People.Mountain.People.Sea.2012.HDTV.720p.x264.AC3-HD.mkv
9,全民目击, 2.02 GiB,1920 * 808, 2h 0mn,2406 Kbps,全民目击.Silent Witness.2013.1080p.WEB-DL.x264.AAC-SmY,,Silent Witness.2013.1080p.WEB-DL.x264.AAC-SmY.mkv
10,八百壮士, 4.27 GiB,1280 * 512, 1h 55mn,5291 Kbps,八百壮士.800 Heroes.1976,,八百壮士.800 Heroes.1976mkv
11,分手大师, 2.38 GiB,1280 * 542, 1h 55mn,2951 Kbps,分手大师.The.Breakup.Guru.2014.720p.HDRip.x264.AC3-SeeHD,,分手大师.The.Breakup.Guru.2014.720p.HDRip.x264.AC3-SeeHD.mkv
12,匆匆那年, 2.40 GiB,1920 * 832, 1h 59mn,2880 Kbps,匆匆那年.Fleet of Time 2015 1080p WEBRip x264 AAC-SeeHD,,Fleet of Time 2015 1080p WEBRip x264 AAC-SeeHD.mkv
13,北京爱情故事, 1.64 GiB,1280 * 720, 2h 1mn,1934 Kbps,北京爱情故事.BeiJing Love Story.2014.720P.WEB-DL.720p.x264.AAC-LZHD,,北京爱情故事 BeiJing Love Story.2014.720P.WEB-DL.720p.x264.AAC-LZHD.mp4
14,十二公民, 2.26 GiB,1920 * 1072, 1h 43mn,3133 Kbps,十二公民.12.Citizens.2015.HD1080P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba,,十二G民.12.Citizens.2015.HD1080P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba.mp4
15,命中注定, 2.48 GiB,1920 * 800, 1h 53mn,3137 Kbps,命中注定.Only-You-2015-1080p-WEB-DL-x264-AAC-SeeHD,,命中注定.Only-You-2015-1080p-WEB-DL-x264-AAC-SeeHD.mkv
16,咱们结婚吧, 3.47 GiB,1920 * 1080, 2h 6mn,3935 Kbps,咱们结婚吧.2015 1080p V2 WEB-DL x264 AAC-SeeHD,,咱们结婚吧.2015 1080p V2 WEB-DL x264 AAC-SeeHD.mkv
17,唐人街探案, 2.82 GiB,1280 * 480, 2h 15mn,2988 Kbps,唐人街探案.Detective Chinatown.2015.720P.WEB-DL.x264.AAC.CHS.ENG,,160215 唐人街探案.2015.HD720P.国语中字.mp4
18,国宝疑云, 2.80 GiB,1280 * 572, 1h 27mn,4555 Kbps,国宝疑云.Stealing.Legend.2014.720p.WEB-DL.x264.AAC-HDWinG,,Stealing.Legend.2014.720p.WEB-DL.x264.AAC-HDWinG.mkv
19,夜莺, 2.15 GiB,1920 * 800, 1h 41mn,3043 Kbps,夜莺.The.Nightingale.2014.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba,,夜莺.The.Nightingale.2014.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba.mp4
20,女生宿舍, 1.87 GiB,1280 * 544, 1h 42mn,2605 Kbps,女生宿舍.Inside.the.Girls.2014.HD720P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba,,女SS舍.Inside.the.Girls.2014.HD720P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba.mp4
21,孪生密码, 1.03 GiB,1280 * 532, 1h 33mn,1583 Kbps,孪生密码.The Twins' Code.2013.720p.WEBRip.x264.AAC-SmY,,The Twins' Code.2013.720p.WEBRip.x264.AAC-SmY.mkv
22,将错就错, 2.43 GiB,1920 * 1080, 1h 29mn,3887 Kbps,将错就错.The Right Mistake 2015 1080p WEB-DL x264 AAC-SeeHD,,The Right Mistake 2015 1080p WEB-DL x264 AAC-SeeHD.mkv
23,师父, 1.65 GiB,1280 * 534, 1h 49mn,2160 Kbps,师父.The.Master.2015.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba,,师父.The.Master.2015.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba.mp4
24,幸福迷途, 3.34 GiB,1920 * 962, 1h 32mn,5190 Kbps,幸福迷途.Happiness.Me.Too.2012.1080p.HDTV.AC3.x264,,幸福迷途.Happiness.Me.Too.2012.1080p.HDTV.AC3.x264.mkv
25,心迷宫, 1.72 GiB,1920 * 804, 1h 50mn,2233 Kbps,心迷宫.Deep.in.the.heart.2014.WEB-DL.1080p.x264.AAC-HQC,,心迷宫.Deep.in.the.heart.2014.WEB-DL.1080p.x264.AAC-HQC.mkv
26,恶战, 2.99 GiB,1280 * 536, 1h 31mn,4696 Kbps,恶战.Once.Upon.a.Time.in.Shanghai.2014.720P.WEB-DL.X264.AC3,,恶战.Once.Upon.a.Time.in.Shanghai.2014.720P.WEB-DL.X264.AC3.mkv
27,恶棍天使, 2.58 GiB,1280 * 534, 2h 4mn,2967 Kbps,恶棍天使.Devil.and.Angel.2015.720P.WEB-DL.x264.AAC.CHS.ENG,,160226 恶棍天使.2015.HD1280超清国语中英双字.mp4
28,憨哥进城, 1.58 GiB,1280 * 720, 1h 27mn,2570 Kbps,憨哥进城.2013.HD720P.X264.AAC.Mandarin.CHS.Mp4Ba,,憨哥进城.2013.HD720P.X264.AAC.Mandarin.CHS.Mp4Ba.mp4
29,我是谁, 2.14 GiB,1920 * 816, 1h 37mn,3137 Kbps,我是谁.Who Am I 2015 1080p WEB-DL x264 AAC-SeeHD,,Who Am I 2015 1080p WEB-DL x264 AAC-SeeHD.mp4
30,我的特工爷爷, 2.08 GiB,1920 * 808, 1h 37mn,3067 Kbps,我的特工爷爷.My Beloved Bodyguard 2016 1080p WEB-DL x264 2Audio-SeeHD,,My Beloved Bodyguard 2016 1080p WEB-DL x264 2Audio-SeeHD.mkv
31,控制, 2.51 GiB,1920 * 1080, 1h 32mn,3905 Kbps,控制.Control.2013.1080p.WEB-DL.x264.AAC-SmY,,Control.2013.1080p.WEB-DL.x264.AAC-SmY.mkv
32,推拿, 2.52 GiB,1920 * 1040, 1h 53mn,3175 Kbps,推拿.Blind.Massage.2014.HD1080P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba,,推拿.Blind.Massage.2014.HD1080P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba.mp4
33,智取威虎山, 2.31 GiB,1920 * 1080, 2h 22mn,2320 Kbps,智取威虎山.The Taking Of Tiger Mountain 2014 1080p WEB-DL x264 AAC-SeeHD,,The Taking Of Tiger Mountain 2014 1080p WEB-DL x264 AAC-SeeHD.mkv
34,枕边诡影, 2.36 GiB,1920 * 1080, 1h 26mn,3933 Kbps,枕边诡影.Bedside Cry 2015 1080p WEB-DL x264 AAC-SeeHD,,枕边人.枕边鬼影.Bedside Cry 2015 1080p WEB-DL x264 AAC-SeeHD.mkv
35,死亡派对, 2.10 GiB,1920 * 1080, 1h 18mn,3808 Kbps,死亡派对.The Deathday Party 2014 1080p WEB-DL x264 AAC-SeeHD,,The Deathday Party 2014 1080p WEB-DL x264 AAC-SeeHD.mkv
36,海神密码, 2.27 GiB,1920 * 1080, 1h 24mn,3859 Kbps,海神密码.Poseidon.Code.2014.1080p.WEB-DL.x264.AAC-SeeHD,,Poseidon.Code.2014.1080p.WEB-DL.x264.AAC-SeeHD.mkv
37,消失爱人, 2.29 GiB,1920 * 800, 1h 46mn,3086 Kbps,消失爱人.The Secret 2016 1080p WEB-DL x264 AAC-SeeHD,,消失爱人.The Secret 2016 1080p WEB-DL x264 AAC-SeeHD.mkv
38,烈日灼心, 3.00 GiB,1920 * 800, 2h 18mn,3101 Kbps,烈日灼心.The.Dead.End.2015.1080p.WEB-DL.x264.AAC-SHOW,,烈日灼心.The.Dead.End.2015.1080p.WEB-DL.x264.AAC-SHOW.mkv
39,猎仇者, 2.67 GiB,1280 * 540, 1h 25mn,4492 Kbps,猎仇者.Pay.Back.2013.720p.WEB-DL.x264-HDWinG,,Pay.Back.2013.720p.WEB-DL.x264-HDWinG.mkv
40,白鹿原, 5.55 GiB,1280 * 560, 2h 29mn,5313 Kbps,白鹿原.White.Deer.Plain.2012.720p.HDTV.x264-xiabd,,白鹿原.White.Deer.Plain.2012.720p.HDTV.x264-xiabd.mkv
41,百团大战, 1.59 GiB,1280 * 536, 1h 46mn,2132 Kbps,百团大战.The.Hundred.Regiments.Offensive.2015.HD720P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba,,B团大战.The.Hundred.Regiments.Offensive.2015.HD720P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba.mp4
42,策马入林, 4.24 GiB,720 * 480, 1h 52mn,5416 Kbps,策马入林.Run Away.1984.2K修复版. WEBRIP,,策马入林.2K修复版 WEBRIP.mkv
43,老炮儿, 2.53 GiB,1280 * 480, 2h 17mn,2636 Kbps,老炮儿.Mr.Six.2015.HD720P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba,,老炮儿.Mr.Six.2015.HD720P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba.mp4
44,耳朵大有福, 1.41 GiB,1920 * 792, 1h 23mn,2408 Kbps,耳朵大有福.Lucky Dog.2013.1080p.WEB-DL.x264.AAC-XLMV,,Lucky Dog.2013.1080p.WEB-DL.x264.AAC-XLMV.mkv
45,警察日记, 3.00 GiB,1920 * 1080, 1h 49mn,3902 Kbps,警察日记.Police.Diary.2014.1080p.WEB-DL.x264.AAC-SeeHD,,Police.Diary.2014.1080p.WEB-DL.x264.AAC-SeeHD.mkv
46,诡劫, 1.11 GiB,1280 * 544, 1h 23mn,1906 Kbps,诡劫.Doomed.Disaster.2015.HD720P,,诡-劫.Doomed.Disaster.2015.HD720P（www.51wady.com）.mp4
47,边境风云, 4.37 GiB,1280 * 544, 1h 36mn,6491 Kbps,边境风云.Lethal Hostage.2012.720p.HDTV.x264-NGB,,[dydao.com]Lethal.Hostage.2012.720p.HDTV.x264-NGB.mkv
48,钢的琴, 4.37 GiB,1280 * 692, 1h 41mn,6169 Kbps,钢的琴.The.Piano.in.a.Factory.2011.720p.HDTV.x264-NGB,,钢的琴.The.Piano.in.a.Factory.2011.720p.HDTV.x264-NGB.mkv
49,闯入者, 2.30 GiB,1920 * 1040, 1h 46mn,3105 Kbps,闯入者.Red.Amnesia.2015.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba,,Red.Amnesia.2015.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba.mp4
50,露水红颜, 2.17 GiB,1920 * 816, 1h 39mn,3126 Kbps,露水红颜.For.Love.or.Money.2014.1080P.WEB-DL.X264.AAC-7KHD,,For.Love.or.Money.2014.1080P.WEB-DL.X264.AAC.mkv
51,魔警, 3.15 GiB,1280 * 544, 1h 46mn,4214 Kbps,魔警.Mojing.2014.720P.WEB-DL.X264.AC3,,魔警.Mojing.2014.720P.WEB-DL.X264.AC3.mkv
